Ident, Complex G, host G, Ligand G, Exp deltaG, Calc deltaG_offset, Error_offset, Abs Error_offset, Calc deltaG, Error, Abs Error, Calc deltaE, Calc -TdeltaS, Calc deltaU+W, Calc deltaU, Calc deltaW, Calc deltaHO_PE, Calc deltaPB, Calc deltaSA, Calc deltaValence, Calc deltaCoul, Calc deltaVdW, Calc deltaVdW6, Calc deltaVdW12, Calc deltaBond, Calc deltaAngle, Calc deltaPdihed, Calc deltaIdihed, Calc deltaTether, Converged, Crashed
MGO--bam,503.074411467,485.245497651,14.6366508101,,,,,3.1922630059,,,-7.5267818719,10.7190448778,-9.3147092741,-21.2473301023,11.9326208282,1.788485804,13.7871742032,-1.8545533749,1.4820715624,-12.8529032052,-9.87649846,-22.1198149889,12.2433165286,-0.0310622538,0.5517693722,0.961364444,0.0,0.0,yes,no
MGO--but,438.456745619,485.245497651,-44.7436802607,,,,,-2.0450717713,,,-17.7247237245,15.6796519533,-19.516369973,-48.0946881241,28.5783181511,1.7884858045,30.650449434,-2.0721312829,0.4367629627,-36.380020186,-12.1514309011,-30.9141858403,18.7627549381,0.5107549071,0.6923084382,-0.7674986707,0.0011982882,0.0,yes,no
MGO--cbu,498.794122147,485.245497651,15.8856273721,,,,,-2.3370028761,,,-11.7679037255,9.4309008505,-13.5563331426,-16.2811971662,2.7248640236,1.7884858045,4.4755395892,-1.7506755655,-0.0382309364,-4.0504092655,-12.1925569649,-20.9747583993,8.7822014345,-0.1001110953,0.4221457768,-0.360265618,0.0,0.0,yes,no
MGO--chp,526.867358572,485.245497651,45.8270758262,,,,,-4.2052149052,,,-15.5279688754,11.3227539702,-17.3164383291,-18.9528410454,1.6364027163,1.7884858037,3.7018229569,-2.0654202406,-0.0810532149,-2.3391987858,-16.5325890456,-27.9100397432,11.377450698,-0.1273139477,0.9768835262,-0.9306227935,0.0,0.0,yes,no
MGO--coc,541.668456913,485.245497651,60.2697344124,,,,,-3.8467751504,,,-16.3909045794,12.544129428,-18.1793398198,-19.8076423385,1.6283025187,1.7884858041,3.8043753826,-2.1760728639,-0.8565915676,-1.1055719231,-17.8454788487,-30.8314377217,12.9859588721,-0.046850681,0.7702216385,-1.5799625246,0.0,0.0,yes,no
MGO--cpe,510.472922548,485.245497651,29.616657858,,,,,-4.389232961,,,-14.1253543763,9.7361214152,-15.9138508243,-18.2904728057,2.3766219814,1.7884858039,4.2563317599,-1.8797097783,0.4509317952,-4.0812761176,-14.6601284839,-24.5276540422,9.867525558,-0.1503010153,0.0161121229,0.5851206874,0.0,0.0,yes,no
MGO--ham,521.15319591,485.245497651,36.6945911977,,,,,-0.7868929387,,,-15.6263353087,14.83944237,-17.414075402,-39.9407048071,22.5266294051,1.7884858038,25.0041030258,-2.4774736206,0.1160589429,-23.439100504,-16.6176632466,-31.4675466014,14.8498833551,-0.3165870676,-0.2123062574,0.6449522679,0.0,0.0,yes,no
MGO--hep,460.912956024,485.245497651,-17.6424215123,,,,,-6.6901201147,,,-23.6183676536,16.9282475389,-25.4077195793,-47.7540383886,22.3463188093,1.7884858037,24.8669072998,-2.5205884904,0.3131624002,-31.4434415939,-16.6237591952,-35.6167020964,18.9929429014,0.3459397254,-0.0120533628,-0.0233122049,0.0025882426,0.0,yes,no
MGO--hex,452.392257258,485.245497651,-26.6768370898,,,,,-6.1764033032,,,-23.5179645924,17.3415612892,-25.3061402293,-50.9943790373,25.688238808,1.7884858043,28.1198937378,-2.4316549297,0.3426431889,-35.8649615425,-15.4720606844,-35.5842988164,20.112238132,0.447062749,0.2388366312,-0.3443650413,0.0011088499,0.0,yes,no
MGO--hp6,455.819109529,485.245497651,-23.0733009802,,,,,-6.3530871418,,,-24.8077246863,18.4546375445,-26.5954656347,-51.7121393296,25.1166736949,1.7884858044,27.6810638408,-2.5643901458,1.2567560844,-36.4708525116,-16.4980429027,-37.3354731051,20.8374302027,0.4472604339,-0.0951612449,0.9030791824,0.0015777132,0.0,yes,no
MGO--hpa,528.904968053,485.245497651,46.6960606484,,,,,-3.0365902464,,,-16.1057051756,13.0691149292,-17.8931799216,-31.0634274012,13.1702474796,1.7884858042,15.6583615342,-2.4881140545,-0.5394686235,-11.6943934187,-18.8295653601,-29.6735271241,10.8439617644,-0.3449466337,-0.4453897365,0.2508677467,0.0,0.0,yes,no
MGO--hx2,451.077284146,485.245497651,-29.8867615345,,,,,-4.2814519705,,,-17.25755879,12.9761068196,-19.0463115496,-40.7584673727,21.7121558231,1.788485804,23.8498510767,-2.1376952535,0.3257898246,-28.9429367518,-12.1413204461,-28.4590222529,16.3177018062,0.3536643802,0.9953035762,-1.0482448855,0.0250667537,0.0,yes,no
MGO--hx3,453.482163482,485.245497651,-27.8108742773,,,,,-3.9524598917,,,-22.5516906567,18.599230765,-24.3401413662,-52.9368871948,28.5967458286,1.788485804,31.0489981383,-2.4522523095,1.9619049869,-40.8937306399,-14.0050615426,-35.1036664698,21.0986049263,0.5686470733,0.2436131831,1.1471429909,0.0025017398,0.0,yes,no
MGO--mba,489.018243077,485.245497651,2.1835871548,,,,,1.5891582712,,,-12.1908157993,13.7799740706,-13.9788966878,-41.4592972466,27.4804005588,1.7884858044,29.7406536467,-2.2602530877,0.0823569697,-28.8637967925,-12.677857424,-26.0514117803,13.3735543562,-0.2945919993,-0.1063254141,0.483274383,0.0,0.0,yes,no
MGO--mha,507.252424681,485.245497651,22.6785790263,,,,,-0.6716519963,,,-13.6434705584,12.9718185621,-15.4321481109,-20.1839848077,4.7518366968,1.7884858042,7.0773669724,-2.3255302756,0.9218989409,-5.4474649405,-15.6584188082,-28.1099526482,12.4515338399,-0.1656766875,0.2451381224,0.8424375061,0.0,0.0,yes,no
MGO--mhp,514.309991997,485.245497651,32.3734936617,,,,,-3.3089993157,,,-19.0935584691,15.7845591534,-20.8811268504,-43.1221890291,22.2410621787,1.7884858036,25.0128483088,-2.77178613,-0.1491307768,-23.3387904759,-19.6342677776,-35.3246728697,15.6904050911,-0.3923274854,-0.3807494055,0.6239461141,0.0,0.0,yes,no
MGO--nmb,541.676023717,485.245497651,52.7531182783,,,,,3.6774077877,,,-10.4253853617,14.1027931484,-12.2144583279,-36.9488684603,24.7344101324,1.7884858044,26.8522500878,-2.1178399552,0.3029507112,-24.6278325986,-12.6239865734,-25.182043101,12.5580565273,-0.1827176441,-0.1128824889,0.5985508442,0.0,0.0,yes,no
MGO--nmh,558.423237362,485.245497651,74.0403914544,,,,,-0.8626517434,,,-15.9077188112,15.0450670678,-17.6948911453,-38.9767373473,21.281846202,1.7884858042,23.8573518408,-2.5755056387,0.3005424411,-21.2457720584,-18.0315077308,-32.640143727,14.6086359966,-0.2892517413,-0.2096354331,0.7994296155,0.0,0.0,yes,no
MGO--oam,537.018875083,485.245497651,56.414099073,,,,,-4.640721641,,,-18.9776416895,14.3369200484,-20.7655286143,-37.4924085711,16.7268799568,1.7884858036,19.4481741438,-2.7212941869,0.0515578627,-17.5443835021,-19.9995829318,-32.8844475891,12.8848646574,-0.370421032,-0.5014833548,0.9234622495,0.0,0.0,yes,no
MGO--oct,469.01211395,485.245497651,-8.8080732371,,,,,-7.4253104639,,,-20.7199570244,13.2946465616,-22.5084503151,-34.0253449728,11.5168946577,1.7884858041,14.0125916991,-2.4956970413,-0.9319050319,-14.401658459,-18.6917814833,-31.7218667089,13.030085225,-0.0968785637,-0.011959807,-0.8264042275,0.0033375662,0.0,yes,no
MGO--pam,512.621980869,485.245497651,25.9781387453,,,,,1.3983444727,,,-12.8697723805,14.2681168532,-14.6572721784,-38.6122968518,23.9550246734,1.7884858044,26.2514578876,-2.2964332141,0.0869852636,-23.7831159127,-14.9161662032,-29.0999772827,14.1838110792,-0.26890665,-0.0765636448,0.4324555585,0.0,0.0,yes,no
MGO--pnt,446.151640398,485.245497651,-35.9950490156,,,,,-3.0988082374,,,-18.12297045,15.0241622126,-19.9135718613,-45.7524813533,25.838909492,1.7884858039,28.0749025002,-2.2359930081,0.0284778157,-31.2766125253,-14.5043466451,-32.1098665111,17.6055198664,0.3622687454,0.0972107762,-0.4339061928,0.0029044869,0.0,yes,no
